Application,Features
BM,1.7579234922,0.8670954908,
Xact,2.3326152697,-0.5669041052,
CL,2.0937292096,-1.4260093740,
COL,1.9366586946,-0.8405216773,
CUS,-4.9539986699,-2.1654105852,
PI2,0.3467961097,-0.7289780954,
IMT,2.3971959156,-0.9249061725,
NCS,0.8584724146,-2.0634383415,
TAX,0.8299707900,-0.7741847770,
AM,-4.3754004439,0.5569799451,
AV,2.1895708188,-1.1064533491,
DSRV,0.1948379207,-0.0307025981,
GAIN,1.4104860354,-1.4564291216,
HYPA,1.3511046639,-1.1941491283,
MARS,1.8960168226,-1.0033078049,
RDF,-12.7741101937,-8.7451129151,
CmaX,-0.6943467547,1.4750706048,
C4I,1.5568784061,0.6575343317,
V+,1.5732415564,0.3569862797,
BRDG,1.5916601774,-1.7359931126,
CCG,2.2949385717,-1.9166666897,
CSE,-3.7921154965,2.9047037853,
DDR,1.3840513313,0.3499117829,
LCS,2.3005974011,-0.9782038547,
NCCIP,-4.6933154992,10.5064691914,
NCMS,1.7472081439,-0.3893786847,
NOS,1.9459083352,-0.5473436645,
PMC,0.0908571565,1.9299334580,
PMI,-0.8637009943,1.4859247633,
RS,-0.2710374383,3.7874047015,
RTS,-5.9232159313,4.6872497692,
STOP,1.8166487136,-0.0025243330,
T2SI,2.4438734713,-0.9686457191,
